filepath,filename,Image DateTime,EXIF DateTimeOriginal,EXIF DateTimeDigitized,Date Taken
IMG_1788.JPG,IMG_1788.JPG,2006:12:30 21:29:43,2006:12:30 21:29:43,2006:12:30 21:29:43,2006-12-30 21:29:43
IMG_1789.JPG,IMG_1789.JPG,2006:12:30 21:29:51,2006:12:30 21:29:51,2006:12:30 21:29:51,2006-12-30 21:29:51
IMG_1790.JPG,IMG_1790.JPG,2006:12:30 21:30:02,2006:12:30 21:30:02,2006:12:30 21:30:02,2006-12-30 21:30:02
IMG_1791.JPG,IMG_1791.JPG,2006:12:30 21:30:39,2006:12:30 21:30:39,2006:12:30 21:30:39,2006-12-30 21:30:39
IMG_1792.JPG,IMG_1792.JPG,2006:12:30 21:31:14,2006:12:30 21:31:14,2006:12:30 21:31:14,2006-12-30 21:31:14
IMG_1793.JPG,IMG_1793.JPG,2006:12:30 21:32:00,2006:12:30 21:32:00,2006:12:30 21:32:00,2006-12-30 21:32:00
IMG_1794.JPG,IMG_1794.JPG,2006:12:30 21:32:07,2006:12:30 21:32:07,2006:12:30 21:32:07,2006-12-30 21:32:07
IMG_1795.JPG,IMG_1795.JPG,2006:12:30 21:32:14,2006:12:30 21:32:14,2006:12:30 21:32:14,2006-12-30 21:32:14
IMG_1796.JPG,IMG_1796.JPG,2006:12:30 21:32:24,2006:12:30 21:32:24,2006:12:30 21:32:24,2006-12-30 21:32:24
IMG_1797.JPG,IMG_1797.JPG,2006:12:30 21:33:51,2006:12:30 21:33:51,2006:12:30 21:33:51,2006-12-30 21:33:51
IMG_1798.JPG,IMG_1798.JPG,2006:12:30 21:43:06,2006:12:30 21:43:06,2006:12:30 21:43:06,2006-12-30 21:43:06
IMG_1799.JPG,IMG_1799.JPG,2006:12:30 21:43:17,2006:12:30 21:43:17,2006:12:30 21:43:17,2006-12-30 21:43:17
IMG_1800.JPG,IMG_1800.JPG,2006:12:30 22:02:32,2006:12:30 22:02:32,2006:12:30 22:02:32,2006-12-30 22:02:32
IMG_1801.JPG,IMG_1801.JPG,2006:12:30 22:02:46,2006:12:30 22:02:46,2006:12:30 22:02:46,2006-12-30 22:02:46
